company,title,season,season_inferred,seasons,program,remote,category,location,sponsorship,h1b_approvals,salary,skills,posted_at,posted_at_source,first_seen_at,url
EMC Insurance,Intern- Data Science,Summer 2027,False,,Internship,,Data & ML/AI,Iowa,unknown,,,,2026-09-11T00:00:00Z,date_only,2026-09-11T21:42:15Z,https://emcins.wd5.myworkdayjobs.com/EMC_Careers/job/Iowa/Intern--Data-Science_R6524
Fidelity Investments,"Co-op, Software Engineer",Not stated,True,,Co-op,,Software,"Boston, MA",unknown,2354,$20–$32/hr,Python; C#; JavaScript,2026-09-11T00:00:00Z,date_only,2026-09-11T21:42:15Z,https://fmr.wd1.myworkdayjobs.com/targeted/job/Boston-MA/Co-op--Software-Engineer_2135200
Graco,Manufacturing Engineering Intern,Not stated,True,,Internship,,Hardware,"Erie, Pennsylvania, USA",no-sponsorship,,,React,2026-09-11T00:00:00Z,date_only,2026-09-11T21:42:15Z,https://graco.wd501.myworkdayjobs.com/Graco_Careers/job/Erie-Pennsylvania-USA/Manufacturing-Engineering-Intern_R0023592
Graco,Mechanical Engineering Intern,Not stated,True,,Internship,,Hardware,"Erie, Pennsylvania, USA",no-sponsorship,,,,2026-09-11T00:00:00Z,date_only,2026-09-11T21:42:15Z,https://graco.wd501.myworkdayjobs.com/Graco_Careers/job/Erie-Pennsylvania-USA/Mechanical-Engineering-Intern_R0023550
Graco,Manufacturing Engineering Intern - Summer 2027,Summer 2027,False,,Internship,,Hardware,"Sioux Falls, South Dakota, USA",no-sponsorship,,,,2026-09-11T00:00:00Z,date_only,2026-09-11T18:25:45Z,https://graco.wd501.myworkdayjobs.com/Graco_Careers/job/Sioux-Falls-South-Dakota-USA/Manufacturing-Engineering-Intern---Summer-2027_R0023643
Leidos,AI/ML Intern,Summer 2027,False,,Internship,,Data & ML/AI,"Huntsville, AL",citizens-only,79,,Python; C++; MATLAB; Linux; Git,2026-09-11T00:00:00Z,date_only,2026-09-11T21:42:15Z,https://leidos.wd5.myworkdayjobs.com/External/job/Huntsville-AL/AI-ML-Intern_R-00192042
Momentive,Summer 2027 Product Management Intern,Summer 2027,False,,Internship,,Software,US WV Friendly,unknown,44,,,2026-09-11T00:00:00Z,date_only,2026-09-11T18:25:45Z,https://momentive.wd1.myworkdayjobs.com/MC/job/US-WV-Friendly/Summer-2027-Product-Management-Intern_R9816
Moog,"Intern, Embedded Design Engineering",Fall 2026,False,,Internship,,Software,"Blacksburg, VA",unknown,2,,,2026-09-11T00:00:00Z,date_only,2026-09-11T21:42:15Z,https://moog.wd5.myworkdayjobs.com/moog_external_career_site/job/Blacksburg-VA/Intern--Embedded-Design-Engineering_R-26-20053
Moog,"Intern, Mechanical Manufacturing Engineering",Not stated,True,,Internship,,Hardware,"Blacksburg, VA",unknown,2,,,2026-09-11T00:00:00Z,date_only,2026-09-11T18:25:45Z,https://moog.wd5.myworkdayjobs.com/moog_external_career_site/job/Blacksburg-VA/Intern--Mechanical-Manufacturing-Engineering_R-26-19925
Motorola,2027 Software Engineering Summer Internship,Summer 2027,False,,Internship,,Software,"Plantation, FL",citizens-only,191,,C++; Linux; Git,2026-09-11T00:00:00Z,date_only,2026-09-11T18:25:45Z,https://motorolasolutions.wd5.myworkdayjobs.com/Careers/job/Plantation-FL/XMLNAME-2027-Software-Engineering-Summer-Internship_R68125
Oshkosh,AI Intern,Summer 2027,False,,Internship,,Data & ML/AI,"Oshkosh, Wisconsin, United States",unknown,2,,Python; C++; PyTorch; TensorFlow; scikit-learn; Computer Vision; Linux,2026-09-11T00:00:00Z,date_only,2026-09-11T21:42:15Z,https://oshkoshcorporation.wd5.myworkdayjobs.com/Oshkosh/job/Oshkosh-Wisconsin-United-States/AI-Intern_R50265
Oshkosh,Cyber Security Intern,Not stated,True,,Internship,,Security,"Oshkosh, Wisconsin, United States",unknown,2,,,2026-09-11T00:00:00Z,date_only,2026-09-11T18:25:45Z,https://oshkoshcorporation.wd5.myworkdayjobs.com/Oshkosh/job/Oshkosh-Wisconsin-United-States/Cyber-Security-Intern_R50267
Oshkosh,Data Engineer Intern,Not stated,True,,Internship,,Data & ML/AI,"Oshkosh, Wisconsin, United States",unknown,2,,Python; SQL; Azure,2026-09-11T00:00:00Z,date_only,2026-09-11T14:19:51Z,https://oshkoshcorporation.wd5.myworkdayjobs.com/Oshkosh/job/Oshkosh-Wisconsin-United-States/Data-Engineer-Intern_R49868
Oshkosh,Mechanical Engineer Intern,Not stated,True,,Internship,,Hardware,"Oshkosh, Wisconsin, United States",unknown,2,,,2026-09-11T00:00:00Z,date_only,2026-09-11T21:42:15Z,https://oshkoshcorporation.wd5.myworkdayjobs.com/Oshkosh/job/Oshkosh-Wisconsin-United-States/Mechanical-Engineer-Intern_R50286
Philips,"Co-op-Industrial Engineering-Reedsville, PA-(January to June 2027)",Summer 2027,False,,Co-op,,Hardware,"Reedsville, Pennsylvania, United States",unknown,,,,2026-09-11T00:00:00Z,date_only,2026-09-11T14:19:51Z,https://philips.wd3.myworkdayjobs.com/jobs-and-careers/job/Reedsville-Pennsylvania-United-States/Co-op-Industrial-Engineering-Reedsville--PA--January-to-June-2027-_591145
Saab,Mechanical Engineer Co-Op (Summer 2027),Summer 2027,False,,Co-op,,Hardware,"East Syracuse, NY (Aspen Park)",citizens-only,,$20.27–$22.3/hr,,2026-09-11T00:00:00Z,date_only,2026-09-11T21:42:15Z,https://saabusa.wd1.myworkdayjobs.com/saab_careers/job/East-Syracuse-NY-Aspen-Park/Mechanical-Engineer-Co-Op--Summer-2027-_R-03261-1
Stanley Black & Decker,"Manufacturing Internship - 1st shift, $15.00hr",Not stated,True,,Internship,,Hardware,"Mission, TX, United States",unknown,124,,,2026-09-11T00:00:00Z,date_only,2026-09-12T00:09:29Z,https://sbdinc.wd1.myworkdayjobs.com/Stanley_Black_Decker_Career_Site/job/Mission-TX-United-States/Manufacturing-Internship_REQ-1000052318-1
Thermo Fisher Scientific,Industrial Engineering Co-op,Not stated,True,,Co-op,,Hardware,"Rochester, New York, USA",unknown,368,,,2026-09-11T00:00:00Z,date_only,2026-09-11T21:42:15Z,https://thermofisher.wd5.myworkdayjobs.com/ThermoFisherCareers/job/Rochester-New-York-USA/Industrial-Engineering-Co-op_R-01366625
Thermo Fisher Scientific,Mechanical Engineering Co-op,Not stated,True,,Co-op,,Hardware,"Rochester, New York, USA",unknown,368,,,2026-09-11T00:00:00Z,date_only,2026-09-11T21:42:15Z,https://thermofisher.wd5.myworkdayjobs.com/ThermoFisherCareers/job/Rochester-New-York-USA/Mechanical-Engineering-Co-op_R-01366623
The Toro Company,Embedded Software Engineering Intern - The Toro Company,Summer 2027,False,,Internship,,Software,"Bloomington, MN",no-sponsorship,2,,C++; C#,2026-09-11T00:00:00Z,date_only,2026-09-11T14:19:51Z,https://ttc.wd1.myworkdayjobs.com/Toro_External_Careers/job/Bloomington-MN/Embedded-Software-Engineering-Intern---The-Toro-Company_JR17114
The Toro Company,Embedded Software Engineering Intern - The Toro Company,Summer 2027,False,,Internship,,Software,"Bloomington, MN",no-sponsorship,2,,Python; C++; C#,2026-09-11T00:00:00Z,date_only,2026-09-11T14:19:51Z,https://ttc.wd1.myworkdayjobs.com/Toro_External_Careers/job/Bloomington-MN/Embedded-Software-Engineering-Intern---The-Toro-Company_JR17125
The Toro Company,Mechanical Design Engineering Intern - The Toro Company,Summer 2027,False,,Internship,,Hardware,"Bloomington, MN",no-sponsorship,2,,,2026-09-11T00:00:00Z,date_only,2026-09-11T14:19:51Z,https://ttc.wd1.myworkdayjobs.com/Toro_External_Careers/job/Bloomington-MN/Mechanical-Design-Engineering-Intern---The-Toro-Company_JR17094
The Toro Company,Mechanical Design Engineering Intern - The Toro Company,Summer 2027,False,,Internship,,Hardware,"Bloomington, MN",no-sponsorship,2,,,2026-09-11T00:00:00Z,date_only,2026-09-11T14:19:51Z,https://ttc.wd1.myworkdayjobs.com/Toro_External_Careers/job/Bloomington-MN/Mechanical-Design-Engineering-Intern---The-Toro-Company_JR17151
The Toro Company,Mechanical Engineering Intern - The Toro Company,Summer 2027,False,,Internship,,Hardware,"Bloomington, MN",no-sponsorship,2,,,2026-09-11T00:00:00Z,date_only,2026-09-11T14:19:51Z,https://ttc.wd1.myworkdayjobs.com/Toro_External_Careers/job/Bloomington-MN/Mechanical-Engineering-Intern---The-Toro-Company_JR17141
The Toro Company,Mechanical Engineering Intern - Value Engineering (VAVE) - The Toro Company,Summer 2027,False,,Internship,,Hardware,"Bloomington, MN",no-sponsorship,2,,,2026-09-11T00:00:00Z,date_only,2026-09-11T14:19:51Z,https://ttc.wd1.myworkdayjobs.com/Toro_External_Careers/job/Bloomington-MN/Mechanical-Engineering-Intern---Value-Engineering--VAVE----The-Toro-Company_JR17204
The Toro Company,Robotics Engineering Intern - The Toro Company,Summer 2027,False,,Internship,,Hardware,"Bloomington, MN",no-sponsorship,2,,Python; C++,2026-09-11T00:00:00Z,date_only,2026-09-11T14:19:51Z,https://ttc.wd1.myworkdayjobs.com/Toro_External_Careers/job/Bloomington-MN/Robotics-Engineering-Intern---The-Toro-Company_JR17194
Amazon,"Industrial Development Engineer Intern/Co-op, ROBOTICS - 2027",Summer 2027,False,,Internship / Co-op,,Hardware,"North Reading, Massachusetts, USA",unknown,23139,,Computer Vision,2026-09-10T00:00:00Z,date_only,2026-09-10T21:38:55Z,https://www.amazon.jobs/en/jobs/10536817/industrial-development-engineer-intern-co-op-robotics-2027
Bedrock Robotics,"Internship 2027 Onboard Infrastructure Engineer, ML Inference",Summer 2027,False,,Internship,,Data & ML/AI,"San Francisco, CA",unknown,,,C++; Rust; PyTorch; LLMs; CUDA,2026-09-10T21:22:05.089+00:00,exact,2026-09-10T21:38:55Z,https://jobs.ashbyhq.com/bedrock-robotics/0331551e-c18e-428a-8e91-e6cb25c9c2e8
Bedrock Robotics,"Internship 2027 Behavior Machine Learning Engineer, World Models",Summer 2027,False,,Internship,,Data & ML/AI,"San Francisco, CA",unknown,,,Python; PyTorch,2026-09-10T21:16:05.767+00:00,exact,2026-09-10T21:38:55Z,https://jobs.ashbyhq.com/bedrock-robotics/c51d682e-58ee-44de-886f-4cfacb56d2e1
